symbol,currentPrice,sharesOutstanding,trailingEps,forwardEps,lastDividendValue,freeCashflow,operatingCashflow,totalRevenue,shortRatio,beta,profitMargins,revenueGrowth,earningsGrowth,debtToEquity,priceToSalesTrailing12Months,returnOnEquity,averageVolume,sharesShort,trailingPE,forwardPE,priceToBook,dividendYield
UDR,41.49,329960000,0.37,0.47,0.425,2.12741,2.59238,5.08461,2.71,0.847,0.07606,0.006,-0.377,131.116,9.646087,0.02841,0.00575,0.01371,112.13514,82.98,3.9442914,0.0395
UHS,181.06,58714700,15.21,18.16,0.2,11.86976,31.69726,262.58771,2.87,1.297,0.06655,0.112,0.583,76.373,0.76539034,0.16341,0.01227,0.03261,11.904011,9.969506,1.8081048,0.0045
ULTA,431.3,46372500,24.97,22.87,1,15.509,30.32696,244.13534,2.74,1.326,0.10684,0.009,-0.12,82.149,1.7668487,0.54978,0.0218,0.05864,17.272728,18.507408,9.143911,
UNH,513.67,920284032,15.39,29.9,2.1,-2.60599,18.08355,428.01786,1.32,0.591,0.03635,0.092,0.043,74.683,1.2001134,0.15252,0.00492,0.00699,33.376865,17.188705,5.0152802,0.0164
UNP,230.01,606257024,10.81,12.11,1.34,6.8859,14.9755,40.06222,2.15,1.056,0.27326,0.025,0.096,197.154,5.7785087,0.43396,0.0042,0.00939,21.27752,18.913164,8.417566,0.0232
UPS,124.21,731369984,6.65,8.81,1.63,5.60506,12.60374,123.99469,3.07,0.982,0.062480003,0.056,0.374,155.425,1.1648834,0.31422,0.00547,0.01823,18.678196,14.162878,6.285295,0.052699998
URI,684,65622400,37.62,46.86,1.63,39.43394,74.85249,228.24523,3.46,1.682,0.17125,0.06,0.04,167.987,3.04633,0.31401,0.00807,0.02668,18.181818,14.530842,5.2372055,0.0094
V,313.04,1729400064,9.73,12.66,0.52,7.66696,11.53579,20.77368,4.6,0.952,0.54955,0.117,0.169,53.239,16.873367,0.50708,0.00344,0.01451,32.172665,24.719727,15.591971,0.0075
VICI,29.56,1054169984,2.71,2.73,0.433,0.1608,2.19499,3.60949,5.53,0.961,0.73902,0.067,0.275,66.55,8.189518,0.111899994,0.00452,0.02444,10.907749,10.768671,1.1854823,0.0587
VLO,122.12,316584992,11.17,9.65,1.07,15.13338,21.64348,406.62381,6.34,1.374,0.028670002,-0.152,-0.848,38.593,0.30558982,0.13797,0.00816,0.04696,10.932856,13.832601,1.530959,0.0344
VMC,257.38,132061000,6.41,9.08,0.46,9.66892,10.9881,56.02184,2.67,0.805,0.114300005,-0.083,-0.246,49.475,4.59428,0.11133,0.00637,0.01398,40.15289,28.296886,4.320704,0.0072
VRSK,273,141211008,6.42,7.29,0.39,5.40884,8.08011,19.99348,3.75,0.862,0.32650003,0.07,0.194,1069.413,13.818443,2.65609,0.00466,0.01671,42.523365,37.267387,128.83437,0.0056
VRTX,402.49,257528992,-1.89,18.77,,11.89531,-3.27186,41.2606,2.68,0.394,-0.045149997,0.116,0.01,11.35,9.866796,-0.029849999,0.00559,0.01364,21.516878,21.516878,6.636711,
VST,163.95,340225984,5.36,6.9,0.222,1.76353,12.02436,47.80646,1.43,1.111,0.12505001,0.539,3.2,183.15,3.4294527,0.30168,0.018,0.0213,30.587685,20.407019,18.840496,0.0055
VTR,56.9,419511008,-0.14,0.16,0.45,2.47924,2.94407,11.43502,8.58,1.39,-0.01386,0.08,0.08,136.679,5.0992427,-0.00543,0.00624,0.05132,123.695656,123.695656,2.444473,0.0309
VTRS,11.95,1193590016,-0.73,2.67,0.12,3.47329,1.91716,12.60776,3.08,0.929,-0.0587,-0.048,-0.706,80.912,0.97400224,-0.043449998,0.00629,0.01933,4.491434,4.491434,0.7206609,0.039100002
VZ,39.61,4209629952,2.31,4.73,0.678,1.58467,8.35157,31.88808,3.96,0.418,0.07298,-0.31,-0.31,182.615,1.2421571,0.10431,0.00412,0.01481,17.147186,8.3775015,1.731055,0.0673
WAB,192.23,171890000,6.06,8.49,0.2,6.85104,10.45436,60.09658,2.33,1.272,0.10252,0.044,0.226,39.063,3.1986847,0.103690006,0.00595,0.01445,31.72112,22.277205,3.2519624,0.0042
WAT,377.1,59376200,10.63,12.93,,10.90016,12.66679,48.9278,3.85,0.973,0.21431999,0.04,0.194,120.473,7.707275,0.4964,0.00809,0.03326,35.47507,29.315117,13.965116,
WBA,9.47,863488000,-9.98,1.47,0.25,3.1655,1.17894,171.0018,3.78,0.669,-0.05849,0.06,0.06,277.898,0.055554945,-0.75969005,0.02714,0.11179,5.9057207,5.9057207,0.7833568,0.105299994
WBD,10.83,2453169920,-4.58,-0.13,,8.26655,2.54283,16.13341,2.83,1.483,-0.28342,-0.036,-0.036,111.154,0.6712777,-0.27295,0.01189,0.03863,15.879533,15.879533,0.7565491,
WDAY,254.14,214000000,6.12,8.3,,9.84558,11.16355,36.74299,2.79,1.352,0.19598,0.167,0.661,40.312,8.553396,0.21080999,0.01503,0.02109,41.526146,30.347576,8.297094,
WEC,92.12,316353984,4.02,5.22,0.835,-1.97093,9.83076,26.97358,5.96,0.438,0.15143,-0.048,-0.241,155.836,3.4771059,0.105220005,0.00582,0.03058,22.915424,17.613497,2.4120865,0.0381
WELL,124.05,622689984,1.55,1.82,0.67,3.82997,3.32061,12.13372,3.67,1.194,0.121190004,0.288,2.004,52.153,10.369433,0.03417,0.00425,0.01621,80.032265,64.94765,2.5288973,0.021300001
WM,201.76,401366016,6.56,8.07,0.75,3.38812,13.10774,53.28553,2.14,0.747,0.12349,0.079,0.153,208.894,3.786394,0.35025,0.00378,0.0082,30.756098,24.99464,10.148893,0.0149
WMB,55.81,1219010048,2.33,2.09,0.475,0.98041,4.56846,8.50362,2.3,1.062,0.27754,0.045,0.077,182.368,6.6560125,0.20583001,0.00535,0.01402,23.952791,26.403187,5.4893284,0.0336
WMT,91.43,8033390080,2.42,2.72,0.208,0.95867,4.21765,82.78386,2.59,0.516,0.02339,0.048,-0.423,69.566,1.1044425,0.18531999,0.00194,0.00395,37.78099,33.175133,8.781215,0.0099
WRB,57.22,381068992,3.85,4.35,0.58,8.79657,9.35896,34.61989,3.65,0.621,0.11956,0.122,0.11,36.284,1.6733184,0.20537001,0.00427,0.0123,14.862338,13.207308,2.5885546,0.0055
WST,332.72,72422400,6.69,7.52,0.2,2.78488,9.69866,39.717,2.36,1.003,0.17368999,-0.001,-0.136,11.188,8.448767,0.17778,0.00885,0.01602,49.733932,44.511513,8.765016,0.0025
WTW,306.61,100725000,-7.17,18.09,0.88,10.22959,14.24671,97.38397,1.24,0.742,-0.07361,0.057,0.057,79.115,3.1734397,-0.08361,0.0067,0.01013,16.62974,16.62974,4.1281486,0.0114
WY,28.5,726582016,0.73,0.86,0.2,0.67663,1.48366,9.89565,2.91,1.428,0.07427,-0.169,-0.882,51.335,2.880054,0.052989997,0.0047,0.01248,39.041096,31.662796,2.0865364,0.028199999
XEL,65.14,574241984,3.29,3.83,0.548,-4.33136,8.6218,23.96725,3.21,0.398,0.13667,-0.005,0.018,154.33,2.782547,0.10262,0.00648,0.01561,19.799393,17.033316,1.9324789,0.0328
XOM,107.74,4395089920,8.02,7.87,0.95,6.55538,12.84957,78.22775,2.86,0.88,0.09802,-0.015,-0.147,15.394,1.3772606,0.14513999,0.0033,0.0103,13.433914,13.12801,1.7629925,0.0367
XYL,116.84,242944992,3.47,4.75,0.36,3.38708,4.70477,34.67452,2.05,1.05,0.098529994,0.013,0.413,19.84,3.379428,0.08081,0.00552,0.01406,33.671467,24.642096,2.6802468,0.012300001
ZBH,103.56,199074000,5.2,8.6,0.24,6.13434,7.94428,38.15415,4.69,1.021,0.14265001,0.04,0.597,53.611,2.738099,0.08713,0.00741,0.034,19.915384,12.10704,1.6704034,0.0092
ZBRA,395.33,51580000,7.43,16.04,,12.92652,16.44048,90.26755,1.73,1.645,0.082040004,0.313,0.313,69.307,4.379536,0.11873999,0.00693,0.01053,53.207268,24.637785,5.956187,
ZTS,165.9,451164992,5.41,6.34,0.432,4.14981,6.52755,20.28526,2.58,0.896,0.26552,0.11,0.163,129.442,8.178351,0.47303,0.00529,0.01387,30.665434,25.87429,14.312829,0.012200001
ZBRA,395.33,51580000,7.43,16.04,,12.92652,16.44048,90.26755,1.73,1.645,0.082040004,0.313,0.313,69.307,4.379536,0.11873999,0.00693,0.01053,53.207268,24.637785,5.956187,
ZTS,165.9,451164992,5.41,6.34,0.432,4.14981,6.52755,20.28526,2.58,0.896,0.26552,0.11,0.163,129.442,8.178351,0.47303,0.00529,0.01387,30.665434,25.87429,14.312829,0.012200001
